Dep_ID,iso_week_UTC,light_reg,n_days,n_hours,bal_count,hbw_count,fish_c_count,dol_count,ves_count,mnk_count,spwh_count,shr_count,bal_pres,hbw_pres,fish_c_pres,dol_pres,ves_pres,mnk_pres,spwh_pres,shr_pres
CGMP_201807_CG,30,twilight,7,14,0,13,4,2,5,0,0,9,0,0.9285714285714286,0.2857142857142857,0.14285714285714285,0.35714285714285715,0,0,0.6428571428571429
CGMP_201812_CG,1,day,7,98,0,1,7,11,24,0,0,0,0,0.01020408163265306,0.07142857142857142,0.11224489795918367,0.24489795918367346,0,0,0
CGMP_201812_CG,1,night,7,53,0,2,2,11,6,0,0,10,0,0.03773584905660377,0.03773584905660377,0.20754716981132076,0.11320754716981132,0,0,0.18867924528301888
CGMP_201812_CG,1,twilight,7,17,0,0,7,0,2,0,0,11,0,0,0.4117647058823529,0,0.11764705882352941,0,0,0.6470588235294118
CGMP_201812_CG,2,day,7,96,0,0,6,11,56,0,0,0,0,0,0.0625,0.11458333333333333,0.5833333333333334,0,0,0
CGMP_201812_CG,2,night,7,55,0,2,16,21,3,0,0,10,0,0.03636363636363636,0.2909090909090909,0.38181818181818183,0.05454545454545454,0,0,0.18181818181818182
CGMP_201812_CG,2,twilight,7,17,0,0,12,0,4,0,0,11,0,0,0.7058823529411765,0,0.23529411764705882,0,0,0.6470588235294118
CGMP_201812_CG,3,day,7,91,0,2,3,3,27,0,0,2,0,0.02197802197802198,0.03296703296703297,0.03296703296703297,0.2967032967032967,0,0,0.02197802197802198
CGMP_201812_CG,3,night,7,60,0,2,16,6,0,0,0,5,0,0.03333333333333333,0.26666666666666666,0.1,0,0,0,0.08333333333333333
CGMP_201812_CG,3,twilight,7,17,0,0,7,1,3,0,0,14,0,0,0.4117647058823529,0.058823529411764705,0.17647058823529413,0,0,0.8235294117647058
CGMP_201812_CG,4,day,7,91,0,0,2,4,30,0,0,0,0,0,0.02197802197802198,0.04395604395604396,0.32967032967032966,0,0,0
CGMP_201812_CG,4,night,7,63,1,3,17,12,5,0,0,14,0.015873015873015872,0.047619047619047616,0.2698412698412698,0.19047619047619047,0.07936507936507936,0,0,0.2222222222222222
CGMP_201812_CG,4,twilight,7,14,0,0,5,0,4,0,0,7,0,0,0.35714285714285715,0,0.2857142857142857,0,0,0.5
CGMP_201812_CG,5,day,7,91,0,0,5,2,17,0,0,2,0,0,0.054945054945054944,0.02197802197802198,0.18681318681318682,0,0,0.02197802197802198
CGMP_201812_CG,5,night,7,63,2,5,42,5,1,0,0,6,0.031746031746031744,0.07936507936507936,0.6666666666666666,0.07936507936507936,0.015873015873015872,0,0,0.09523809523809523
CGMP_201812_CG,5,twilight,7,14,0,0,7,0,1,0,0,13,0,0,0.5,0,0.07142857142857142,0,0,0.9285714285714286
CGMP_201812_CG,6,day,7,91,1,0,2,14,37,0,0,6,0.01098901098901099,0,0.02197802197802198,0.15384615384615385,0.4065934065934066,0,0,0.06593406593406594
CGMP_201812_CG,6,night,7,63,0,5,20,17,7,0,0,4,0,0.07936507936507936,0.31746031746031744,0.2698412698412698,0.1111111111111111,0,0,0.06349206349206349
CGMP_201812_CG,6,twilight,7,14,1,0,9,0,7,0,0,11,0.07142857142857142,0,0.6428571428571429,0,0.5,0,0,0.7857142857142857
CGMP_201812_CG,7,day,7,91,0,0,6,0,15,0,0,0,0,0,0.06593406593406594,0,0.16483516483516483,0,0,0
CGMP_201812_CG,7,night,7,63,0,1,23,4,3,0,0,7,0,0.015873015873015872,0.36507936507936506,0.06349206349206349,0.047619047619047616,0,0,0.1111111111111111
CGMP_201812_CG,7,twilight,7,14,0,0,10,0,2,0,0,14,0,0,0.7142857142857143,0,0.14285714285714285,0,0,1
CGMP_201812_CG,51,day,7,98,0,1,5,13,33,0,0,2,0,0.01020408163265306,0.05102040816326531,0.1326530612244898,0.336734693877551,0,0,0.02040816326530612
CGMP_201812_CG,51,night,7,56,0,4,11,14,6,0,0,6,0,0.07142857142857142,0.19642857142857142,0.25,0.10714285714285714,0,0,0.10714285714285714
CGMP_201812_CG,51,twilight,7,14,0,0,7,0,2,0,0,13,0,0,0.5,0,0.14285714285714285,0,0,0.9285714285714286
CGMP_201812_CG,52,day,7,98,0,0,7,5,15,0,0,6,0,0,0.07142857142857142,0.05102040816326531,0.15306122448979592,0,0,0.061224489795918366
CGMP_201812_CG,52,night,7,56,0,6,4,13,1,0,0,1,0,0.10714285714285714,0.07142857142857142,0.23214285714285715,0.017857142857142856,0,0,0.017857142857142856
