Dep_ID,month_UTC,light_reg,n_days,n_hours,bal_count,hbw_count,fish_c_count,dol_count,ves_count,mnk_count,spwh_count,shr_count,bal_pres,hbw_pres,fish_c_pres,dol_pres,ves_pres,mnk_pres,spwh_pres,shr_pres
MURAT_202002_MRE,3,twilight,31,62,9,0,59,14,0,0,1,25,0.14516129032258066,0,0.9516129032258065,0.22580645161290322,0,0,0.016129032258064516,0.4032258064516129
MURAT_202002_MRE,4,day,30,332,8,0,7,77,0,0,3,10,0.024096385542168676,0,0.02108433734939759,0.2319277108433735,0,0,0.009036144578313253,0.030120481927710843
MURAT_202002_MRE,4,night,30,330,11,0,38,54,0,0,1,46,0.03333333333333333,0,0.11515151515151516,0.16363636363636364,0,0,0.0030303030303030303,0.1393939393939394
MURAT_202002_MRE,4,twilight,30,58,3,0,22,7,0,0,0,34,0.05172413793103448,0,0.3793103448275862,0.1206896551724138,0,0,0,0.5862068965517241
NINGALOO_201909_NGN,10,day,31,391,0,191,14,31,14,0,0,32,0,0.4884910485933504,0.03580562659846547,0.0792838874680307,0.03580562659846547,0,0,0.08184143222506395
NINGALOO_201909_NGN,10,night,31,299,0,218,32,24,5,0,0,30,0,0.7290969899665551,0.10702341137123746,0.0802675585284281,0.016722408026755852,0,0,0.10033444816053512
NINGALOO_201909_NGN,10,twilight,31,54,0,36,30,1,4,0,0,31,0,0.6666666666666666,0.5555555555555556,0.018518518518518517,0.07407407407407407,0,0,0.5740740740740741
NINGALOO_201909_NGN,11,day,16,208,0,1,0,3,8,0,0,13,0,0.004807692307692308,0,0.014423076923076924,0.038461538461538464,0,0,0.0625
NINGALOO_201909_NGN,11,night,16,144,0,0,0,0,1,0,0,11,0,0,0,0,0.006944444444444444,0,0,0.0763888888888889
NINGALOO_201909_NGN,11,twilight,16,32,0,0,0,0,4,0,0,24,0,0,0,0,0.125,0,0,0.75
SIMP_201808_WP,8,day,23,243,3,243,34,17,93,0,0,22,0.012345679012345678,1,0.13991769547325103,0.06995884773662552,0.38271604938271603,0,0,0.09053497942386832
SIMP_201808_WP,8,night,22,242,3,242,68,61,15,0,0,23,0.012396694214876033,1,0.2809917355371901,0.25206611570247933,0.06198347107438017,0,0,0.09504132231404959
SIMP_201808_WP,8,twilight,22,44,2,44,22,6,8,0,0,20,0.045454545454545456,1,0.5,0.13636363636363635,0.18181818181818182,0,0,0.45454545454545453
SIMP_201812_WP,12,day,20,280,0,10,19,1,51,0,0,20,0,0.03571428571428571,0.06785714285714285,0.0035714285714285713,0.18214285714285713,0,0,0.07142857142857142
SIMP_201812_WP,12,night,20,160,0,0,28,15,0,0,0,2,0,0,0.175,0.09375,0,0,0,0.0125
SIMP_201812_WP,12,twilight,20,40,0,0,40,1,3,0,0,38,0,0,1,0.025,0.075,0,0,0.95
SIMP_201906_WP,6,day,22,213,0,200,35,6,29,0,0,0,0,0.9389671361502347,0.1643192488262911,0.028169014084507043,0.13615023474178403,0,0,0
SIMP_201906_WP,6,night,22,258,0,256,36,35,6,0,0,22,0,0.9922480620155039,0.13953488372093023,0.13565891472868216,0.023255813953488372,0,0,0.08527131782945736
SIMP_201906_WP,6,twilight,22,43,0,46,22,1,2,0,0,38,0,1.069767441860465,0.5116279069767442,0.023255813953488372,0.046511627906976744,0,0,0.8837209302325582
SIMP_201906_WP,7,day,31,328,0,350,37,16,76,0,0,18,0,1.0670731707317074,0.11280487804878049,0.04878048780487805,0.23170731707317074,0,0,0.054878048780487805
SIMP_201906_WP,7,night,31,355,0,400,19,70,7,0,0,23,0,1.1267605633802817,0.05352112676056338,0.19718309859154928,0.01971830985915493,0,0,0.0647887323943662
SIMP_201906_WP,7,twilight,31,61,0,64,9,6,4,0,0,52,0,1.0491803278688525,0.14754098360655737,0.09836065573770492,0.06557377049180328,0,0,0.8524590163934426
SWC_202201_SWS,2,day,28,372,0,0,12,127,68,0,5,0,0,0,0.03225806451612903,0.34139784946236557,0.1827956989247312,0,0.013440860215053764,0
SWC_202201_SWS,2,night,28,242,0,0,7,45,40,0,0,0,0,0,0.028925619834710745,0.1859504132231405,0.1652892561983471,0,0,0
SWC_202201_SWS,2,twilight,28,58,0,0,24,19,11,0,0,0,0,0,0.41379310344827586,0.3275862068965517,0.1896551724137931,0,0,0
SWC_202201_SWS,3,day,31,372,5,0,7,108,63,0,2,0,0.013440860215053764,0,0.01881720430107527,0.2903225806451613,0.1693548387096774,0,0.005376344086021506,0
SWC_202201_SWS,3,night,31,310,15,0,12,59,45,0,2,0,0.04838709677419355,0,0.03870967741935484,0.19032258064516128,0.14516129032258066,0,0.0064516129032258064,0
SWC_202201_SWS,3,twilight,31,62,1,0,17,15,13,0,0,0,0.016129032258064516,0,0.27419354838709675,0.24193548387096775,0.20967741935483872,0,0,0
