Dep_ID,month_UTC,light_reg,n_days,n_hours,bal_count,hbw_count,fish_c_count,dol_count,ves_count,mnk_count,spwh_count,shr_count,bal_pres,hbw_pres,fish_c_pres,dol_pres,ves_pres,mnk_pres,spwh_pres,shr_pres,tidal_mag_m,mean_water_temp_C,mean_wind_m_sec,mean_wind_km_h,rain_month_avg_mm,wind_am_month_avg_kmh,wind_pm_month_avg_kmh
CGMP_201812_CG,12,twilight,20,40,0,0,14,2,2,0,0,39,0,0,0.35,0.05,0.05,0,0,0.975,1.287,21.05,3.16,11.376,126.5,14.3,21
CGMP_201904_CG,4,day,21,223,0,0,24,10,72,2,0,12,0,0,0.10762331838565023,0.04484304932735426,0.32286995515695066,0.008968609865470852,0,0.053811659192825115,1.58,21.258295964125562,3.0780269058295966,11.080896860986547,167.3,13.4,18.5
CGMP_201904_CG,4,night,21,226,0,0,32,26,13,7,0,17,0,0,0.1415929203539823,0.11504424778761062,0.05752212389380531,0.030973451327433628,0,0.0752212389380531,1.628,21.23982300884956,2.3451327433628317,8.442477876106194,167.3,13.4,18.5
CGMP_201904_CG,4,twilight,21,41,0,0,10,3,13,0,0,13,0,0,0.24390243902439024,0.07317073170731707,0.3170731707317073,0,0,0.3170731707317073,1.365,21.278048780487804,2.5634146341463415,9.22829268292683,167.3,13.4,18.5
CGMP_201904_CG,5,day,31,320,0,10,13,44,125,81,0,11,0,0.03125,0.040625,0.1375,0.390625,0.253125,0,0.034375,1.374,20.6421875,4.3559375,15.681375000000001,144.3,13.3,16.8
CGMP_201904_CG,5,night,31,363,0,15,91,99,24,97,0,49,0,0.04132231404958678,0.25068870523415976,0.2727272727272727,0.06611570247933884,0.26721763085399447,0,0.1349862258953168,1.6749999999999998,20.688980716253443,4.076308539944904,14.674710743801652,144.3,13.3,16.8
CGMP_201904_CG,5,twilight,31,61,0,4,27,7,13,11,0,33,0,0.06557377049180328,0.4426229508196721,0.11475409836065574,0.21311475409836064,0.18032786885245902,0,0.5409836065573771,1.326,20.634426229508197,4.170491803278688,15.013770491803278,144.3,13.3,16.8
CGMP_201904_CG,6,day,24,237,0,157,7,35,82,33,0,1,0,0.6624472573839663,0.029535864978902954,0.14767932489451477,0.3459915611814346,0.13924050632911392,0,0.004219409282700422,1.297,19.390295358649787,4.069620253164557,14.650632911392405,133.2,13.8,17.3
CGMP_201904_CG,6,night,24,282,0,240,42,50,20,35,0,29,0,0.851063829787234,0.14893617021276595,0.1773049645390071,0.07092198581560284,0.12411347517730496,0,0.10283687943262411,1.792,19.408156028368793,3.5971631205673757,12.949787234042553,133.2,13.8,17.3
CGMP_201904_CG,6,twilight,24,47,0,40,14,3,12,3,0,40,0,0.851063829787234,0.2978723404255319,0.06382978723404255,0.2553191489361702,0.06382978723404255,0,0.851063829787234,1.44,19.408510638297873,3.4382978723404256,12.377872340425531,133.2,13.8,17.3
DAMPIER_202009_DNE,9,day,23,268,0,188,104,52,40,0,0,23,0,0.7014925373134329,0.3880597014925373,0.19402985074626866,0.14925373134328357,0,0,0.08582089552238806,9.551,27.143333333333334,4.994029850746268,17.97850746268657,1.4,19.2,26.3
DAMPIER_202009_DNE,9,night,23,250,0,183,67,35,23,0,0,43,0,0.732,0.268,0.14,0.092,0,0,0.172,9.529,27.149489795918367,4.126,14.8536,1.4,19.2,26.3
DAMPIER_202009_DNE,9,twilight,20,20,0,15,9,4,2,0,0,0,0,0.75,0.45,0.2,0.1,0,0,0,5.4879999999999995,27.011764705882353,3.885,13.986,1.4,19.2,26.3
DAMPIER_202009_DNE,10,day,31,403,0,68,320,50,43,0,0,28,0,0.1687344913151365,0.794044665012407,0.12406947890818859,0.10669975186104218,0,0,0.06947890818858561,9.332999999999998,27.312987012987012,5.725897435897436,20.613230769230768,0.4,19.7,28.4
DAMPIER_202009_DNE,10,night,31,291,0,74,148,5,12,0,0,34,0,0.2542955326460481,0.5085910652920962,0.01718213058419244,0.041237113402061855,0,0,0.11683848797250859,8.689,27.30787037037037,5.202127659574468,18.727659574468085,0.4,19.7,28.4
DAMPIER_202009_DNE,10,twilight,25,50,0,5,40,2,4,0,0,30,0,0.1,0.8,0.04,0.08,0,0,0.6,5.763,27.36875,4.641666666666667,16.71,0.4,19.7,28.4
MURAT_202002_MRE,2,day,23,290,25,0,17,21,0,0,0,7,0.08620689655172414,0,0.05862068965517241,0.07241379310344828,0,0,0,0.02413793103448276,0.9570000000000001,21.304577464788732,NA,NA,13.6,17,26.7
MURAT_202002_MRE,2,night,23,203,10,0,43,16,0,0,0,24,0.04926108374384237,0,0.21182266009852216,0.07881773399014778,0,0,0,0.11822660098522167,1.113,21.365128205128205,NA,NA,13.6,17,26.7
MURAT_202002_MRE,2,twilight,23,45,2,0,19,4,0,0,0,34,0.044444444444444446,0,0.4222222222222222,0.08888888888888889,0,0,0,0.7555555555555555,0.7430000000000001,21.371111111111112,NA,NA,13.6,17,26.7
MURAT_202002_MRE,3,day,31,372,29,0,5,146,0,0,2,22,0.07795698924731183,0,0.013440860215053764,0.3924731182795699,0,0,0.005376344086021506,0.05913978494623656,1.2850000000000001,19.509485094850948,NA,NA,15.8,15.7,24.6
MURAT_202002_MRE,3,night,31,310,9,0,57,108,2,0,1,46,0.02903225806451613,0,0.18387096774193548,0.34838709677419355,0.0064516129032258064,0,0.0032258064516129032,0.14838709677419354,1.125,19.569381107491857,NA,NA,15.8,15.7,24.6
MURAT_202002_MRE,3,twilight,31,62,9,0,59,14,0,0,1,25,0.14516129032258066,0,0.9516129032258065,0.22580645161290322,0,0,0.016129032258064516,0.4032258064516129,1.08,19.536065573770493,NA,NA,15.8,15.7,24.6
MURAT_202002_MRE,4,day,30,332,8,0,7,77,0,0,3,10,0.024096385542168676,0,0.02108433734939759,0.2319277108433735,0,0,0.009036144578313253,0.030120481927710843,1.1800000000000002,19.266237942122185,NA,NA,19.9,14.2,21.3
