height_cm,YYYYMMDD,hhmm/
200,20190928,2200/
212,20190928,2300/
207,20190929,0000/
182,20190929,0100/
139,20190929,0200/
91,20190929,0300/
56,20190929,0400/
43,20190929,0500/
50,20190929,0600/
79,20190929,0700/
121,20190929,0800/
169,20190929,0900/
207,20190929,1000/
230,20190929,1100/
229,20190929,1200/
206,20190929,1300/
162,20190929,1400/
108,20190929,1500/
61,20190929,1600/
35,20190929,1700/
34,20190929,1800/
58,20190929,1900/
100,20190929,2000/
151,20190929,2100/
197,20190929,2200/
226,20190929,2300/
233,20190930,0000/
216,20190930,0100/
177,20190930,0200/
121,20190930,0300/
68,20190930,0400/
33,20190930,0500/
22,20190930,0600/
36,20190930,0700/
73,20190930,0800/
123,20190930,0900/
176,20190930,1000/
213,20190930,1100/
231,20190930,1200/
223,20190930,1300/
195,20190930,1400/
145,20190930,1500/
89,20190930,1600/
47,20190930,1700/
29,20190930,1800/
40,20190930,1900/
75,20190930,2000/
124,20190930,2100/
176,20190930,2200/
219,20190930,2300/
240,20191001,0000/
234,20191001,0100/
209,20191001,0200/
160,20191001,0300/
98,20191001,0400/
47,20191001,0500/
17,20191001,0600/
13,20191001,0700/
37,20191001,0800/
81,20191001,0900/
137,20191001,1000/
188,20191001,1100/
221,20191001,1200/
232,20191001,1300/
216,20191001,1400/
180,20191001,1500/
125,20191001,1600/
75,20191001,1700/
42,20191001,1800/
36,20191001,1900/
60,20191001,2000/
103,20191001,2100/
156,20191001,2200/
207,20191001,2300/
240,20191002,0000/
251,20191002,0100/
234,20191002,0200/
194,20191002,0300/
134,20191002,0400/
74,20191002,0500/
29,20191002,0600/
8,20191002,0700/
13,20191002,0800/
43,20191002,0900/
92,20191002,1000/
146,20191002,1100/
193,20191002,1200/
217,20191002,1300/
218,20191002,1400/
197,20191002,1500/
157,20191002,1600/
103,20191002,1700/
61,20191002,1800/
44,20191002,1900/
51,20191002,2000/
82,20191002,2100/
131,20191002,2200/
184,20191002,2300/
226,20191003,0000/
248,20191003,0100/
243,20191003,0200/
218,20191003,0300/
173,20191003,0400/
112,20191003,0500/
62,20191003,0600/
27,20191003,0700/
17,20191003,0800/
30,20191003,0900/
66,20191003,1000/
113,20191003,1100/
162,20191003,1200/
196,20191003,1300/
211,20191003,1400/
204,20191003,1500/
178,20191003,1600/
134,20191003,1700/
89,20191003,1800/
62,20191003,1900/
60,20191003,2000/
79,20191003,2100/
115,20191003,2200/
161,20191003,2300/
204,20191004,0000/
231,20191004,0100/
238,20191004,0200/
225,20191004,0300/
190,20191004,0400/
139,20191004,0500/
90,20191004,0600/
49,20191004,0700/
26,20191004,0800/
24,20191004,0900/
44,20191004,1000/
78,20191004,1100/
121,20191004,1200/
159,20191004,1300/
177,20191004,1400/
180,20191004,1500/
165,20191004,1600/
138,20191004,1700/
103,20191004,1800/
74,20191004,1900/
61,20191004,2000/
67,20191004,2100/
90,20191004,2200/
121,20191004,2300/
158,20191005,0000/
188,20191005,0100/
206,20191005,0200/
206,20191005,0300/
190,20191005,0400/
155,20191005,0500/
113,20191005,0600/
73,20191005,0700/
44,20191005,0800/
33,20191005,0900/
39,20191005,1000/
61,20191005,1100/
97,20191005,1200/
132,20191005,1300/
159,20191005,1400/
170,20191005,1500/
169,20191005,1600/
155,20191005,1700/
130,20191005,1800/
102,20191005,1900/
86,20191005,2000/
84,20191005,2100/
96,20191005,2200/
119,20191005,2300/
150,20191006,0000/
177,20191006,0100/
195,20191006,0200/
201,20191006,0300/
194,20191006,0400/
175,20191006,0500/
146,20191006,0600/
113,20191006,0700/
87,20191006,0800/
70,20191006,0900/
66,20191006,1000/
75,20191006,1100/
95,20191006,1200/
118,20191006,1300/
140,20191006,1400/
152,20191006,1500/
156,20191006,1600/
158,20191006,1700/
143,20191006,1800/
124,20191006,1900/
109,20191006,2000/
104,20191006,2100/
109,20191006,2200/
121,20191006,2300/
139,20191007,0000/
157,20191007,0100/
173,20191007,0200/
182,20191007,0300/
182,20191007,0400/
175,20191007,0500/
160,20191007,0600/
140,20191007,0700/
119,20191007,0800/
102,20191007,0900/
93,20191007,1000/
92,20191007,1100/
95,20191007,1200/
109,20191007,1300/
123,20191007,1400/
135,20191007,1500/
145,20191007,1600/
147,20191007,1700/
146,20191007,1800/
141,20191007,1900/
134,20191007,2000/
131,20191007,2100/
131,20191007,2200/
134,20191007,2300/
138,20191008,0000/
146,20191008,0100/
157,20191008,0200/
163,20191008,0300/
164,20191008,0400/
166,20191008,0500/
164,20191008,0600/
159,20191008,0700/
148,20191008,0800/
133,20191008,0900/
121,20191008,1000/
110,20191008,1100/
106,20191008,1200/
104,20191008,1300/
108,20191008,1400/
117,20191008,1500/
124,20191008,1600/
135,20191008,1700/
143,20191008,1800/
147,20191008,1900/
151,20191008,2000/
151,20191008,2100/
147,20191008,2200/
144,20191008,2300/
137,20191009,0000/
135,20191009,0100/
134,20191009,0200/
136,20191009,0300/
141,20191009,0400/
149,20191009,0500/
155,20191009,0600/
161,20191009,0700/
162,20191009,0800/
156,20191009,0900/
146,20191009,1000/
133,20191009,1100/
119,20191009,1200/
105,20191009,1300/
97,20191009,1400/
97,20191009,1500/
103,20191009,1600/
115,20191009,1700/
130,20191009,1800/
145,20191009,1900/
159,20191009,2000/
165,20191009,2100/
165,20191009,2200/
157,20191009,2300/
146,20191010,0000/
132,20191010,0100/
122,20191010,0200/
117,20191010,0300/
118,20191010,0400/
125,20191010,0500/
139,20191010,0600/
156,20191010,0700/
171,20191010,0800/
178,20191010,0900/
174,20191010,1000/
163,20191010,1100/
141,20191010,1200/
117,20191010,1300/
96,20191010,1400/
87,20191010,1500/
88,20191010,1600/
100,20191010,1700/
119,20191010,1800/
143,20191010,1900/
164,20191010,2000/
177,20191010,2100/
181,20191010,2200/
175,20191010,2300/
162,20191011,0000/
141,20191011,0100/
117,20191011,0200/
104,20191011,0300/
100,20191011,0400/
103,20191011,0500/
117,20191011,0600/
141,20191011,0700/
166,20191011,0800/
183,20191011,0900/
188,20191011,1000/
185,20191011,1100/
167,20191011,1200/
138,20191011,1300/
107,20191011,1400/
84,20191011,1500/
75,20191011,1600/
82,20191011,1700/
102,20191011,1800/
128,20191011,1900/
158,20191011,2000/
182,20191011,2100/
195,20191011,2200/
192,20191011,2300/
177,20191012,0000/
152,20191012,0100/
120,20191012,0200/
92,20191012,0300/
74,20191012,0400/
73,20191012,0500/
87,20191012,0600/
112,20191012,0700/
145,20191012,0800/
174,20191012,0900/
192,20191012,1000/
196,20191012,1100/
187,20191012,1200/
162,20191012,1300/
126,20191012,1400/
89,20191012,1500/
68,20191012,1600/
65,20191012,1700/
79,20191012,1800/
106,20191012,1900/
142,20191012,2000/
175,20191012,2100/
197,20191012,2200/
201,20191012,2300/
191,20191013,0000/
164,20191013,0100/
127,20191013,0200/
90,20191013,0300/
63,20191013,0400/
55,20191013,0500/
65,20191013,0600/
89,20191013,0700/
123,20191013,0800/
160,20191013,0900/
189,20191013,1000/
204,20191013,1100/
203,20191013,1200/
184,20191013,1300/
148,20191013,1400/
106,20191013,1500/
74,20191013,1600/
62,20191013,1700/
67,20191013,1800/
93,20191013,1900/
128,20191013,2000/
167,20191013,2100/
199,20191013,2200/
215,20191013,2300/
211,20191014,0000/
189,20191014,0100/
150,20191014,0200/
106,20191014,0300/
68,20191014,0400/
47,20191014,0500/
