"","Begin_Date","Begin_Hour","Dolphin_BP","Mn_","Mn_nsong","Mn_other","Mn_social","Mn_song","fish_","fish_c","fish_p","minke_faint","minke_sw","uk_uk","dol_w","Notes","SiteID"
"102",2019-06-14,5,0,0,0,0,0,1,0,1,0,0,1,0,0,"; ; ","WP"
"103",2019-06-14,6,0,0,0,0,0,1,0,1,0,0,1,0,0,"; ; ","WP"
"104",2019-06-14,7,0,0,0,0,0,1,0,0,0,0,1,1,0,"; overlap with Mn song; possible whale","WP"
"105",2019-06-14,8,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"106",2019-06-14,9,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"107",2019-06-14,10,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"108",2019-06-14,11,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"109",2019-06-14,12,0,0,0,0,0,1,0,1,0,0,0,1,0,"; ; possible whale, doesn't fit with Mn song","WP"
"110",2019-06-14,13,0,0,0,0,0,1,0,1,0,0,1,0,0,"; ; ","WP"
"111",2019-06-14,14,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,"WP"
"112",2019-06-14,15,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,"WP"
"113",2019-06-14,16,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,"WP"
"114",2019-06-14,17,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,"WP"
"115",2019-06-14,18,0,0,0,0,0,1,0,1,0,0,0,0,1,NA,"WP"
"116",2019-06-14,19,0,0,0,0,0,1,0,1,0,0,0,0,1,NA,"WP"
"117",2019-06-14,20,0,0,0,0,0,1,0,1,0,0,0,1,1,"; ; possible whale","WP"
"118",2019-06-14,21,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"119",2019-06-14,22,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"WP"
"120",2019-06-14,23,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"WP"
"121",2019-06-15,0,0,0,0,0,0,1,0,0,0,0,1,1,0,"; ; possible whale","WP"
