"","Begin_Date","Begin_Hour","bal_uk","dol_E","dol_EC","dol_W","dol_w.x","fish_","fish_c","fish_o","fish_p","fish_p\","fish_pp","fish_social","minke_***","minke_boing","mn_p","mn_s","mn_soc","mn_socia","mn_sociak'","mn_social","mn_song","mn_sonmg","uk_Lfdownsweeps","uk_uk","uk_ukLFp","uk_ukj","dol_w.y","Notes","SiteID"
"84",2019-09-28,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"; ; ","NGN"
"85",2019-09-28,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; ; LF pulses","NGN"
"86",2019-09-28,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"; faint","NGN"
"87",2019-09-28,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"88",2019-09-28,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"89",2019-09-28,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,"NGN"
"90",2019-09-28,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"; LF pulses; ","NGN"
"91",2019-09-28,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,"NGN"
"92",2019-09-28,19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"; ; louder","NGN"
"93",2019-09-28,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"94",2019-09-28,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"95",2019-09-28,22,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"faint; faint; loud","NGN"
"96",2019-09-28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"faint","NGN"
"97",2019-09-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,NA,"; LF pulses; ??","NGN"
"98",2019-09-29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"99",2019-09-29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"100",2019-09-29,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"101",2019-09-29,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA,"faint; ; ; ","NGN"
"102",2019-09-29,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"103",2019-09-29,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"104",2019-09-29,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,"NGN"
"105",2019-09-29,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,"; LF pulses; ","NGN"
"106",2019-09-29,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,"NGN"
"107",2019-09-29,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"; LOUD","NGN"
"108",2019-09-29,11,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"; ; ; ","NGN"
"109",2019-09-29,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"; ; ","NGN"
