SiteID,Start.date,Start.hour,PresentTotal,PresenceTime,CPAPresent,TBPresent,ManeuverCPAPres,ManeuverTAPres,TAPresent,VesselCount,HumpbackPresent,DolphinPresent,Baleen,Minke,Other_Bio,FishChorusP,SnappingShrimp,Notes,ExtraNotes,Biology,Weekday
West Pimpernel,1/5/2019,15,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
West Pimpernel,1/5/2019,16,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
West Pimpernel,1/5/2019,17,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
West Pimpernel,1/5/2019,18,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
West Pimpernel,1/5/2019,19,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 hz,,"Fish Chorus, Snapping Shrimp",Saturday
West Pimpernel,1/5/2019,20,0,,0,0,0,0,0,0,0,0,0,0,,1,1,"1-2 khz, 500 hz",,"Fish Chorus, Snapping Shrimp",Saturday
West Pimpernel,1/5/2019,21,0,,0,0,0,0,0,0,0,1,0,0,,1,1,500 hz,,"Delphinid spp., Fish Chorus, Snapping Shrimp",Saturday
West Pimpernel,1/5/2019,22,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 hz,,"Fish Chorus, Snapping Shrimp",Saturday
West Pimpernel,1/5/2019,23,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
West Pimpernel,1/6/2019,0,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,,"Baleen Whales, Snapping Shrimp",Sunday
West Pimpernel,1/6/2019,1,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,,"Baleen Whales, Snapping Shrimp",Sunday
West Pimpernel,1/6/2019,2,1,,0,1,0,0,0,1,1,1,0,0,1,0,1,,squeaky calls 02:29:33,"Baleen Whales, Delphinid spp., Snapping Shrimp",Sunday
West Pimpernel,1/6/2019,3,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,,"Baleen Whales, Snapping Shrimp",Sunday
West Pimpernel,1/6/2019,4,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Sunday
