SiteID,Start.date,Start.hour,PresentTotal,PresenceTime,CPAPresent,TBPresent,ManeuverCPAPres,ManeuverTAPres,TAPresent,VesselCount,HumpbackPresent,DolphinPresent,Baleen,Minke,Other_Bio,FishChorusP,SnappingShrimp,Notes,ExtraNotes,Biology,Weekday
Cod Grounds,12/31/2018,3,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,mystery sound 03:27:26,Snapping Shrimp,Monday
Cod Grounds,12/31/2018,4,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,possible Bp 04:06:51,Snapping Shrimp,Monday
Cod Grounds,12/31/2018,5,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,possible Bp 05:06:15,Snapping Shrimp,Monday
Cod Grounds,12/31/2018,6,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,unk baleen call 06:17:11; possible Bp 06:33:02,Snapping Shrimp,Monday
Cod Grounds,12/31/2018,7,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,possible Bp 07:19:25,Snapping Shrimp,Monday
Cod Grounds,12/31/2018,8,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,possible Bp 08:08:32,Snapping Shrimp,Monday
Cod Grounds,12/31/2018,9,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,possible Bp 09:21:34,Snapping Shrimp,Monday
Cod Grounds,12/31/2018,10,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,possible Bp 10:07:10,Snapping Shrimp,Monday
Cod Grounds,12/31/2018,11,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
Cod Grounds,12/31/2018,12,0,,0,0,0,0,0,0,0,1,0,0,,0,1,,so many whistles ~12:11:30,"Delphinid spp., Snapping Shrimp",Monday
Cod Grounds,12/31/2018,13,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
Cod Grounds,12/31/2018,14,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
Cod Grounds,12/31/2018,15,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
Cod Grounds,12/31/2018,16,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
Cod Grounds,12/31/2018,17,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
Cod Grounds,12/31/2018,18,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,possible whale 18:06:46,Snapping Shrimp,Monday
Cod Grounds,12/31/2018,19,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
Cod Grounds,12/31/2018,20,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
Cod Grounds,12/31/2018,21,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
Cod Grounds,12/31/2018,22,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
Cod Grounds,12/31/2018,23,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Monday
Cod Grounds,1/1/2019,0,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Tuesday
