dep,PARKSAUSTRALIA_CGMP_201807_CG_27,PARKSAUSTRALIA_CGMP_201807_CG_28,PARKSAUSTRALIA_CGMP_201807_CG_29,PARKSAUSTRALIA_CGMP_201807_CG_30,PARKSAUSTRALIA_CGMP_201812_CG_1,PARKSAUSTRALIA_CGMP_201812_CG_2,PARKSAUSTRALIA_CGMP_201812_CG_3,PARKSAUSTRALIA_CGMP_201812_CG_4,PARKSAUSTRALIA_CGMP_201812_CG_5,PARKSAUSTRALIA_CGMP_201812_CG_51,PARKSAUSTRALIA_CGMP_201812_CG_52,PARKSAUSTRALIA_CGMP_201812_CG_6,PARKSAUSTRALIA_CGMP_201812_CG_7,PARKSAUSTRALIA_CGMP_201904_CG_17,PARKSAUSTRALIA_CGMP_201904_CG_18,PARKSAUSTRALIA_CGMP_201904_CG_19,PARKSAUSTRALIA_CGMP_201904_CG_20,PARKSAUSTRALIA_CGMP_201904_CG_21,PARKSAUSTRALIA_CGMP_201904_CG_22,PARKSAUSTRALIA_CGMP_201904_CG_23,PARKSAUSTRALIA_CGMP_201904_CG_24,PARKSAUSTRALIA_CGMP_201904_CG_25,PARKSAUSTRALIA_SIMP_201808_WP_33,PARKSAUSTRALIA_SIMP_201808_WP_34,PARKSAUSTRALIA_SIMP_201808_WP_35,PARKSAUSTRALIA_SIMP_201808_WP_36,PARKSAUSTRALIA_SIMP_201812_WP_1,PARKSAUSTRALIA_SIMP_201812_WP_2,PARKSAUSTRALIA_SIMP_201812_WP_51,PARKSAUSTRALIA_SIMP_201812_WP_52,PARKSAUSTRALIA_SIMP_201906_WP_25,PARKSAUSTRALIA_SIMP_201906_WP_26,PARKSAUSTRALIA_SIMP_201906_WP_27,PARKSAUSTRALIA_SIMP_201906_WP_28,PARKSAUSTRALIA_SIMP_201906_WP_29,PARKSAUSTRALIA_SIMP_201906_WP_30,PARKSAUSTRALIA_SIMP_201906_WP_31
PARKSAUSTRALIA_CGMP_201812_CG_52,0.015969507193825436,0.015407297635471698,0.014240174796764258,0.01463491961719881,0.009877065060710321,0.019694562654125423,0.010444856296657179,0.008797422173693325,0.012015214627191684,0.010353294285027273,0,0.01751236124592181,0.011155016613979198,0.013744406083195037,0.011542956776983335,0.011071937021319582,0.010658798559770047,0.01059864460599061,0.009746129352331854,0.008368735043425906,0.014953908459077138,0.020076748630412186,0.02237521122362832,0.022338700600231423,0.02227697351952169,0.021565782302178926,0.03998710532273035,0.04343655255189012,0.029275210669189436,0.03647886085093378,0.0194300833891569,0.01994144104798509,0.020038587979871476,0.018786041945142287,0.019482637058457583,0.018753304925460096,0.021437058684841373
PARKSAUSTRALIA_CGMP_201812_CG_6,0.017975279681211685,0.01719812921734797,0.016648605543343818,0.016937887661886922,0.012818745114890454,0.004410756588464223,0.00909791226346325,0.009636232143008974,0.010488506157993674,0.008211619204761914,0.01751236124592181,0,0.008397944774717251,0.010782987903271783,0.012650908718569437,0.01148690064185463,0.01114888664860319,0.012047650858471141,0.012674512018182413,0.017531119993084623,0.020262222118575698,0.027020819708918457,0.013241350665034443,0.01428259805702288,0.01528208230437288,0.016654440270995913,0.027147485743622454,0.031197851022431694,0.01790920271122262,0.02431610068792879,0.00965022028479929,0.010040702645278198,0.010378162743042072,0.014935886414305396,0.013599129390097326,0.012625424880959874,0.012728914040094071
PARKSAUSTRALIA_CGMP_201812_CG_7,0.018995832242253024,0.018517095861120905,0.016981358236105252,0.01760225565173462,0.012883643613016872,0.010900105514182194,0.009579514973694898,0.006589965104498201,0.009852472577031141,0.007983798454485398,0.011155016613979198,0.008397944774717251,0,0.011608341844363842,0.01223237131716284,0.010172229636403398,0.008997316265678004,0.010487113590857473,0.011603980026482556,0.014365315559685066,0.019208144852751505,0.02548893597836158,0.01581941978117688,0.016385449541990723,0.01703372608520758,0.01766029046011822,0.03264041580932973,0.03643751757711108,0.021994825565041648,0.029395925131860068,0.012666540735935105,0.013332505845564308,0.013090401960958885,0.015498814278219019,0.014809560748064618,0.013107096877719888,0.01412515601808984
PARKSAUSTRALIA_CGMP_201904_CG_17,0.010861729686603625,0.009213928028549962,0.007712813277516824,0.008369819576658428,0.006839350691825575,0.014434153297218293,0.004619184822407954,0.008025376138007464,0.006513736978234653,0.006600879854264719,0.013744406083195037,0.010782987903271783,0.011608341844363842,0,0.004379287001799454,0.004992566721673352,0.005049253357613352,0.005575915135346293,0.005267921958980916,0.010892913981465756,0.011562862378469273,0.019608314734847313,0.017321835399532592,0.01905028047798494,0.018939600237227003,0.01942051640117969,0.033584323405531004,0.037969697569382774,0.023858211875167453,0.031058552834805474,0.015445146207643104,0.014352653062057638,0.015130044186859197,0.017854697245409237,0.017660186208905384,0.01702549710284724,0.01806722844800757
PARKSAUSTRALIA_CGMP_201904_CG_18,0.00893396755524762,0.00798914746058436,0.006285859410911366,0.006797555952685212,0.004633397490303812,0.016094837150933957,0.004690475340743465,0.008226385507155824,0.006671701623892346,0.00677244771999022,0.011542956776983335,0.012650908718569437,0.01223237131716284,0.004379287001799454,0,0.004656440755103982,0.005775012361996473,0.0053857409173985885,0.0028565296004373552,0.007444977025031705,0.008583069636407124,0.016226388442653554,0.01853519415742651,0.019495111330956348,0.019382729664574723,0.019672916854645024,0.03589631837837424,0.040148052282091416,0.026023918118190974,0.033063586323217216,0.015732611663956893,0.01506723229217146,0.0157409968939069,0.017158286540221862,0.017079714479790925,0.01641804722282496,0.018480168840722677
PARKSAUSTRALIA_CGMP_201904_CG_19,0.01148026009851743,0.011267469503315341,0.009885539658456819,0.010236754262057644,0.006616016568327743,0.013530764330017804,0.005630046326910768,0.005947709030717529,0.008793308779125146,0.006387775533866945,0.011071937021319582,0.01148690064185463,0.010172229636403398,0.004992566721673352,0.004656440755103982,0,0.0033040482407666913,0.0054429893919336475,0.0036112406585670736,0.009086057080154869,0.012204096751675688,0.01928143290575163,0.01914048282509978,0.01997546326466652,0.020908364610628522,0.021469957443782512,0.03292871223717198,0.037133656287255574,0.0231222594904019,0.03006356670230431,0.01397227346673776,0.01457742248564313,0.014845613483796271,0.01871013206066182,0.018197545630780996,0.016606617929130894,0.016964914806178316
PARKSAUSTRALIA_CGMP_201904_CG_20,0.012822567786502813,0.012185605340443637,0.010800148846423309,0.011168661830704302,0.0081065260629285,0.01398395645587561,0.006066452037628311,0.006634788380231697,0.00824879514272476,0.006399521082804198,0.010658798559770047,0.01114888664860319,0.008997316265678004,0.005049253357613352,0.005775012361996473,0.0033040482407666913,0,0.003393340485646278,0.003932391063269022,0.008377703776829743,0.012474735343914339,0.019833286365095074,0.01880543200682307,0.0194775052926798,0.020692453218738402,0.021224310864100676,0.03455296349028426,0.03875386212246233,0.02476000277946113,0.0316832107058075,0.014643077455095289,0.014678152205297262,0.014870576723207187,0.018438215227852765,0.017824018472600737,0.016150510039178532,0.017020345728141505
PARKSAUSTRALIA_CGMP_201904_CG_21,0.013090725561969538,0.01093396910645084,0.009239520156017159,0.009356354098548259,0.008353405112998643,0.01570089770530874,0.006412873914013197,0.00804562813099169,0.006777788539083951,0.006887616252162447,0.01059864460599061,0.012047650858471141,0.010487113590857473,0.005575915135346293,0.0053857409173985885,0.0054429893919336475,0.003393340485646278,0,0.003908285579700929,0.008747542255043416,0.010139761914713925,0.017519539884030374,0.01754749119937034,0.01817969737191117,0.01881641643592157,0.01911758676094413,0.03681056768949304,0.04102181195224319,0.026908078156346417,0.03395089722940621,0.016023389700533738,0.014642874081223556,0.014953837921593329,0.016350992520254255,0.016205385123622254,0.015547739420908726,0.017499741104118414
PARKSAUSTRALIA_CGMP_201904_CG_22,0.010064901539761837,0.009339065547069396,0.00801023054648495,0.008310466662767786,0.005632569222346685,0.015757549224487393,0.005311223908285888,0.00773192300446917,0.007657718686706374,0.006793109824668998,0.009746129352331854,0.012674512018182413,0.011603980026482556,0.005267921958980916,0.0028565296004373552,0.0036112406585670736,0.003932391063269022,0.003908285579700929,0,0.006524641096997417,0.009510735647033811,0.016763776465355474,0.018868476964089737,0.0194779048937291,0.01975201097654558,0.020081154214699387,0.03596517485573457,0.04017678358313749,0.026178604936748208,0.03310276779468875,0.015320904188501336,0.014917718710230296,0.015354708584935348,0.017128005333559414,0.016834003249476218,0.015778491399267198,0.01785871400885461
PARKSAUSTRALIA_CGMP_201904_CG_23,0.011888531516399327,0.011527209471067543,0.010508731347773638,0.01065607845782726,0.008479585467160529,0.020436417538062815,0.009570190017044027,0.011053255529711354,0.011364814312569334,0.011002222399968214,0.008368735043425906,0.017531119993084623,0.014365315559685066,0.010892913981465756,0.007444977025031705,0.009086057080154869,0.008377703776829743,0.008747542255043416,0.006524641096997417,0,0.00876766938832779,0.015084459163931519,0.022776117005052762,0.022638478380293117,0.022683519611927473,0.021845364854100324,0.040536920200545806,0.0444381440230825,0.030564610843413345,0.03749349835548097,0.019725956362034374,0.01955333687739794,0.019789030693269167,0.01873960880318745,0.0191944777187838,0.01845956552055308,0.02186691937556284
