"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Bio_Category" "Call_type" "Notes"
29 "Spectrogram 1" 1 31293.19623 31294.73829 0 161.074 "2021/5/11" "14:00:39.1962" "14:00:40.7383" 1.5421 "uk" "uk" "lf p"
30 "Spectrogram 1" 1 31352.33642 31354.11212 395.973 892.617 "2021/5/11" "14:01:38.3364" "14:01:40.1121" 1.7757 "fish" "p" ""
31 "Spectrogram 1" 1 32694.41586 32703.9953 704.698 1959.732 "2021/5/11" "14:24:00.4159" "14:24:09.9953" 9.5794 "dolphin" "clicks" ""
32 "Spectrogram 1" 1 33523.50463 33531.72893 1516.779 1791.946 "2021/5/11" "14:37:49.5046" "14:37:57.7289" 8.2243 "mn" "soc" "faint"
33 "Spectrogram 1" 1 34918.15884 34920.12146 0 134.228 "2021/5/11" "15:01:04.1588" "15:01:06.1215" 1.9626 "uk" "uk" "lf pulse"
34 "Spectrogram 1" 1 34956.57004 34957.785 449.664 1040.268 "2021/5/11" "15:01:42.5700" "15:01:43.7850" 1.215 "fish" "p" ""
35 "Spectrogram 1" 1 35840.17753 35846.11211 0 114.094 "2021/5/11" "15:16:26.1775" "15:16:32.1121" 5.9346 "uk" "uk" "lf rumble"
36 "Spectrogram 1" 1 37712.95791 37717.49061 315.436 1852.349 "2021/5/11" "15:47:38.9579" "15:47:43.4906" 4.5327 "mn" "soc" "faint"
37 "Spectrogram 1" 1 38488.11678 38489.47192 0 181.208 "2021/5/11" "16:00:34.1168" "16:00:35.4719" 1.3551 "uk" "uk" "lf pulse"
38 "Spectrogram 1" 1 38506.46258 38510.90184 174.497 543.624 "2021/5/11" "16:00:52.4626" "16:00:56.9018" 4.4393 "mn" "song" "faint"
39 "Spectrogram 1" 1 38725.8738 38727.22894 67.114 671.141 "2021/5/11" "16:04:31.8738" "16:04:33.2289" 1.3551 "fish" "p" ""
40 "Spectrogram 1" 1 40538.43922 40539.51399 0 644.295 "2021/5/11" "16:34:44.4392" "16:34:45.5140" 1.0748 "uk" "uk" ""
41 "Spectrogram 1" 1 42166.85044 42168.62614 0 114.094 "2021/5/11" "17:01:52.8504" "17:01:54.6261" 1.7757 "uk" "uk" "lf pulse"
42 "Spectrogram 1" 1 42354.41117 42357.40183 369.128 932.886 "2021/5/11" "17:05:00.4112" "17:05:03.4018" 2.9907 "fish" "p" ""
43 "Spectrogram 1" 1 45579.99528 45597.84575 1140.94 1731.544 "2021/5/11" "17:58:45.9953" "17:59:03.8458" 17.8505 "dolphin" "clicks" "faint"
44 "Spectrogram 1" 1 45725.19153 45726.03265 0 134.228 "2021/5/11" "18:01:10.1915" "18:01:11.0327" 0.8411 "uk" "uk" "lf pulse"
45 "Spectrogram 1" 1 45737.90181 45740.51863 355.705 1255.034 "2021/5/11" "18:01:23.9018" "18:01:25.5186" 2.6168 "fish" "p" ""
46 "Spectrogram 1" 1 46585.31303 46589.98593 812.081 1208.054 "2021/5/11" "18:15:30.3130" "18:15:35.9859" 4.6729 "dolphin" "burst pulse" ""
47 "Spectrogram 1" 1 47368.39715 47369.70556 369.128 1046.98 "2021/5/11" "18:28:33.3971" "18:28:34.7056" 1.3084 "fish" "p" ""
48 "Spectrogram 1" 1 48060.72426 48066.285 389.262 1416.107 "2021/5/11" "18:40:05.7243" "18:40:11.2850" 5.5607 "uk" "uk" "bark"
49 "Spectrogram 1" 1 48417.94854 48424.77097 1067.114 1570.47 "2021/5/11" "18:46:03.9485" "18:46:10.7710" 6.8224 "uk" "uk" "clicks"
50 "Spectrogram 1" 1 49292.13546 49293.11677 0 100.671 "2021/5/11" "19:00:37.1355" "19:00:38.1168" 0.9813 "uk" "uk" "lf pulse"
51 "Spectrogram 1" 1 49399.62144 49402.00462 476.51 731.544 "2021/5/11" "19:02:24.6214" "19:02:27.0046" 2.3832 "fish" "p" ""
52 "Spectrogram 1" 1 49608.89247 49619.54667 1167.785 1731.544 "2021/5/11" "19:05:54.8925" "19:06:04.5467" 10.6542 "uk" "uk" "clicks"
53 "Spectrogram 1" 1 52926.70556 52927.78033 0 107.383 "2021/5/11" "20:01:11.7056" "20:01:13.7803" 1.0748 "uk" "uk" "lf pulse"
54 "Spectrogram 1" 1 52968.85508 52969.55602 107.383 563.758 "2021/5/11" "20:01:54.8551" "20:01:54.5560" 0.7009 "fish" "p" ""
55 "Spectrogram 1" 1 53111.13546 53118.6121 637.584 1281.879 "2021/5/11" "20:04:16.1355" "20:04:23.6121" 7.4766 "uk" "uk" "possible bal, groan"
56 "Spectrogram 1" 1 54991.76631 54994.96724 0 1557.047 "2021/5/11" "20:35:37.7663" "20:35:40.9672" 3.2009 "uk" "uk" ""
57 "Spectrogram 1" 1 56454.36911 56457.87378 0 234.899 "2021/5/11" "20:59:59.3691" "21:00:03.8738" 3.5047 "uk" "uk" "lf rumble"
58 "Spectrogram 1" 1 56775.70556 56778.32238 127.517 932.886 "2021/5/11" "21:05:20.7056" "21:05:23.3224" 2.6168 "fish" "p" ""
59 "Spectrogram 1" 1 57291.1448 57292.82704 0 187.919 "2021/5/11" "21:13:56.1448" "21:13:58.8270" 1.6822 "uk" "uk" "lf pulse"
60 "Spectrogram 1" 1 60082.46256 60083.4906 308.725 1033.557 "2021/5/11" "22:00:27.4626" "22:00:28.4906" 1.028 "fish" "p" ""
61 "Spectrogram 1" 1 60141.13546 60142.21022 0 93.96 "2021/5/11" "22:01:26.1355" "22:01:27.2102" 1.0748 "uk" "uk" "lf pulse"
62 "Spectrogram 1" 1 63751.14481 63752.68686 0 127.517 "2021/5/11" "23:01:36.1448" "23:01:37.6869" 1.5421 "uk" "uk" "lf pulse"
63 "Spectrogram 1" 1 63791.82705 63794.95789 127.517 731.544 "2021/5/11" "23:02:17.8270" "23:02:20.9579" 3.1308 "fish" "p" ""
64 "Spectrogram 1" 1 65993.49061 66005.64014 0 932.886 "2021/5/11" "23:38:56.4906" "23:39:08.6401" 12.1495 "uk" "uk" ""
65 "Spectrogram 1" 1 67267.12611 67269.08873 389.262 691.275 "2021/5/12" "0:00:10.1261" "0:00:12.0887" 1.9626 "fish" "p" ""
66 "Spectrogram 1" 1 67316.31303 67317.7149 0 127.517 "2021/5/12" "0:00:59.3130" "0:01:01.7149" 1.4019 "uk" "uk" "lf pulse"
67 "Spectrogram 1" 1 67528.43453 67541.42518 241.611 771.812 "2021/5/12" "0:04:31.4345" "0:04:44.4252" 12.9907 "mn" "song" "faint"
68 "Spectrogram 1" 1 70907.49061 70908.61211 114.094 416.107 "2021/5/12" "1:00:50.4906" "1:00:51.6121" 1.1215 "fish" "p" ""
69 "Spectrogram 1" 1 70980.88313 70984.99528 33.557 255.034 "2021/5/12" "1:02:04.8831" "1:02:08.9953" 4.1122 "uk" "uk" "lf rumble"
70 "Spectrogram 1" 1 70993.40649 70995.08873 13.423 140.94 "2021/5/12" "1:02:16.4065" "1:02:18.0887" 1.6822 "uk" "uk" "lf pulse"
71 "Spectrogram 1" 1 74504.3878 74506.35041 20.134 181.208 "2021/5/12" "2:00:47.3878" "2:00:49.3504" 1.9626 "uk" "uk" "lf pulse"
72 "Spectrogram 1" 1 74560.63079 74562.87378 335.57 1033.557 "2021/5/12" "2:01:43.6308" "2:01:46.8738" 2.243 "fish" "p" ""
73 "Spectrogram 1" 1 76143.54667 76149.15414 375.839 986.577 "2021/5/12" "2:28:06.5467" "2:28:12.1541" 5.6075 "mn" "song" "faint"
74 "Spectrogram 1" 1 78065.1635 78066.89247 6.711 208.054 "2021/5/12" "3:00:08.1635" "3:00:10.8925" 1.729 "uk" "uk" "lf pulse"
75 "Spectrogram 1" 1 78139.53732 78144.39713 228.188 731.544 "2021/5/12" "3:01:22.5373" "3:01:27.3971" 4.8598 "fish" "p" ""
76 "Spectrogram 1" 1 80622.3691 80623.8177 651.007 959.732 "2021/5/12" "3:42:45.3691" "3:42:47.8177" 1.4486 "mn" "song" ""
77 "Spectrogram 1" 1 81748.79901 81750.52798 0 120.805 "2021/5/12" "4:01:32.7990" "4:01:33.5280" 1.729 "uk" "uk" "lf pulse"
78 "Spectrogram 1" 1 82115.8177 82118.80836 20.134 234.899 "2021/5/12" "4:07:39.8177" "4:07:42.8084" 2.9907 "uk" "uk" "lf rumble"
79 "Spectrogram 1" 1 82848.00461 82849.21956 416.107 865.772 "2021/5/12" "4:19:51.0046" "4:19:52.2196" 1.2149 "fish" "p" ""
80 "Spectrogram 1" 1 84902.64949 84917.92986 67.114 1315.436 "2021/5/12" "4:54:06.6495" "4:54:21.9299" 15.2804 "uk" "uk" ""
81 "Spectrogram 1" 1 85608.80836 85610.77098 0 234.899 "2021/5/12" "5:05:52.8084" "5:05:54.7710" 1.9626 "uk" "uk" "lf pulse"
