"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Bio_Category" "Call_type" "Notes"
8 "Spectrogram 1" 1 8318.896173858 8326.437154846 74.356 791.668 "2020/9/10" "20:02:33.8962" "20:02:41.4372" 7.541 "mn" "song" ""
10 "Spectrogram 1" 1 11851.409827243 11867.530040225 489.872 922.884 "2020/9/10" "21:01:26.4098" "21:01:42.5300" 16.1202 "mn" "song" ""
13 "Spectrogram 1" 1 15410.928954482 15423.442611339 65.608 577.349 "2020/9/10" "22:00:45.9290" "22:00:58.4426" 12.5137 "mn" "song" ""
15 "Spectrogram 1" 1 19076.480869289 19088.830591777 214.319 660.452 "2020/9/10" "23:01:51.4809" "23:02:03.8306" 12.3497 "mn" "song" ""
2 "Spectrogram 1" 1 24.754089765 27.650263623 61.234 459.255 "2020/9/10" "17:44:19.7541" "17:44:22.6503" 2.8962 "uk" "uk" "lr"
7 "Spectrogram 1" 1 4676.349715543 4680.502719566 96.225 314.918 "2020/9/10" "19:01:51.3497" "19:01:55.5027" 4.153 "uk" "uk" "lr"
9 "Spectrogram 1" 1 8338.459008595 8341.519116822 122.468 376.152 "2020/9/10" "20:02:53.4590" "20:02:56.5191" 3.0601 "uk" "uk" "lr"
11 "Spectrogram 1" 1 11930.163917008 11934.37156582 78.729 310.544 "2020/9/10" "21:02:45.1639" "21:02:49.3716" 4.2076 "uk" "uk" "lr"
16 "Spectrogram 1" 1 19278.4808554 19280.120199093 638.583 892.267 "2020/9/10" "23:05:13.4809" "23:05:15.1202" 1.6393 "fish" "p" ""
2 "Spectrogram 1" 1 320.382496167 322.568287758 769.799 1054.099 "2020/9/10" "23:49:12.3825" "23:49:14.5683" 2.1858 "fish" "p" ""
11 "Spectrogram 1" 1 15891.409830715 15894.142070203 747.929 962.248 "2020/9/11" "4:08:43.4098" "4:08:46.1421" 2.7322 "fish" "p" ""
1 "Spectrogram 1" 1 3.060108227 11.693985011 227.441 848.528 "2020/9/10" "23:43:55.0601" "23:44:03.6940" 8.6339 "mn" "song" ""
3 "Spectrogram 1" 1 1028.622949909 1045.071031629 144.337 870.397 "2020/9/11" "0:01:00.6229" "0:01:17.0710" 16.4481 "mn" "song" ""
4 "Spectrogram 1" 1 4601.967208959 4614.699444976 56.86 726.06 "2020/9/11" "1:00:33.9672" "1:00:46.6994" 12.7322 "mn" "song" ""
5 "Spectrogram 1" 1 8219.85791938 8231.114746072 306.17 726.06 "2020/9/11" "2:00:51.8579" "2:01:03.1147" 11.2568 "mn" "song" ""
7 "Spectrogram 1" 1 11800.961738578 11813.639329804 91.851 734.808 "2020/9/11" "3:00:32.9617" "3:00:45.6393" 12.6776 "mn" "song" ""
9 "Spectrogram 1" 1 15404.426224499 15414.699444976 511.741 901.014 "2020/9/11" "4:00:36.4262" "4:00:46.6994" 10.2732 "mn" "song" ""
13 "Spectrogram 1" 1 19021.497263073 19032.699444976 258.058 826.659 "2020/9/11" "5:00:53.4973" "5:01:04.6994" 11.2022 "mn" "song" ""
6 "Spectrogram 1" 1 11412.633873311 11416.896166913 87.477 288.675 "2020/9/11" "2:54:04.6339" "2:54:08.8962" 4.2623 "uk" "uk" "lr"
8 "Spectrogram 1" 1 11856.327858322 11859.661190498 43.739 275.553 "2020/9/11" "3:01:28.3279" "3:01:31.6612" 3.3333 "uk" "uk" "lr"
10 "Spectrogram 1" 1 15622.338792141 15626.710375323 83.103 306.17 "2020/9/11" "4:04:14.3388" "4:04:18.7104" 4.3716 "uk" "uk" "lr"
12 "Spectrogram 1" 1 16542.196714993 16557.387966549 621.088 1023.482 "2020/9/11" "4:19:34.1967" "4:19:49.3880" 15.1913 "uk" "uk" "chittering mn?"
14 "Spectrogram 1" 1 19046.797800736 19050.021843333 91.851 301.796 "2020/9/11" "5:01:18.7978" "5:01:22.0218" 3.224 "uk" "uk" "lr"
