"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Bio_Category" "Call_type" "Notes"
58 "Spectrogram 1" 1 54094.579121627 54096.133237646 0 580.742 "2019/9/25" "19:53:53.5791" "19:53:55.1332" 1.5541 "uk" "uk" "loud pop [ not sure, looks sim to uk sounds from 06:31, can ask Gen and Tim -- JM]"
59 "Spectrogram 1" 1 54474.688279082 54476.464411675 233.91 403.293 "2019/9/25" "20:00:14.6883" "20:00:15.4644" 1.7761 "mn" "song" ""
60 "Spectrogram 1" 1 54700.901041493 54703.898265244 72.593 266.173 "2019/9/25" "20:04:00.9010" "20:04:03.8983" 2.9972 "mn" "song" "maybe? [more mn! -- JM]"
61 "Spectrogram 1" 1 56830.434798354 56832.09992266 72.593 258.107 "2019/9/25" "20:39:29.4348" "20:39:31.0999" 1.6651 "mn" "song" "[mn, not fish -- JM]"
62 "Spectrogram 1" 1 58063.443127101 58066.329342565 330.7 758.191 "2019/9/25" "21:00:02.4431" "21:00:05.3293" 2.8862 "mn" "song" ""
63 "Spectrogram 1" 1 58156.790033206 58158.177636795 80.659 338.766 "2019/9/25" "21:01:36.7900" "21:01:37.1776" 1.3876 "mn" "song" "[more mn -- JM]"
64 "Spectrogram 1" 1 58400.148044307 58403.311780489 282.305 2741.201 "2019/9/25" "21:05:39.1480" "21:05:42.3118" 3.1637 "uk" "uk" "fish? clicks (not loud enough to be dolphin?) [could be fish but not sure -- JM]"
66 "Spectrogram 1" 1 59577.824267461 59580.710482925 64.527 290.371 "2019/9/25" "21:25:17.8243" "21:25:20.7105" 2.8862 "mn" "song" "[mn, not fish -- JM]"
67 "Spectrogram 1" 1 61670.059239863 61672.501422179 685.598 830.783 "2019/9/25" "22:00:09.0592" "22:00:11.5014" 2.4422 "mn" "song" ""
68 "Spectrogram 1" 1 62587.504198427 62588.947306159 24.198 830.783 "2019/9/25" "22:15:26.5042" "22:15:28.9473" 1.4431 "fish" "p" "[these are so weird!  I think you're correct, though, that they're fish -- JM]"
69 "Spectrogram 1" 1 65364.260897279 65369.92231992 129.054 371.029 "2019/9/25" "23:01:42.2609" "23:01:48.9223" 5.6614 "mn" "song" ""
70 "Spectrogram 1" 1 65909.92231992 65910.310848925 40.329 709.795 "2019/9/25" "23:10:48.9223" "23:10:48.3108" 0.3885 "fish" "p" ""
71 "Spectrogram 1" 1 69139.043507786 69141.541194245 209.712 371.029 "2019/9/26" "0:04:37.0435" "0:04:39.5412" 2.4977 "mn" "song" ""
72 "Spectrogram 1" 1 69200.592071307 69203.14526191 32.263 467.82 "2019/9/26" "0:05:38.5921" "0:05:41.1453" 2.5532 "uk" "uk" "something bumping into hydrophone maybe?"
73 "Spectrogram 1" 1 69206.642022953 69210.416304714 129.054 322.634 "2019/9/26" "0:05:44.6420" "0:05:48.4163" 3.7743 "fish" "p" "?"
74 "Spectrogram 1" 1 70902.987447238 70903.81164172 0 290.371 "2019/9/26" "0:34:01.9874" "0:34:02.8116" 0.8242 "uk" "uk" "LF pulses"
75 "Spectrogram 1" 1 72495.165433877 72498.108985599 233.91 725.927 "2019/9/26" "1:00:33.1654" "1:00:36.1090" 2.9436 "mn" "song" ""
76 "Spectrogram 1" 1 76086.320242181 76087.693899651 64.527 661.4 "2019/9/26" "2:00:24.3202" "2:00:25.6939" 1.3737 "mn" "song" ""
77 "Spectrogram 1" 1 77166.320242181 77167.222931376 40.329 621.071 "2019/9/26" "2:18:24.3202" "2:18:25.2229" 0.9027 "" "" "[more likley slaps at the surface or someething bumping the hydrophone -- JM]"
78 "Spectrogram 1" 1 79662.369180559 79663.036385616 233.91 371.029 "2019/9/26" "3:00:00.3692" "3:00:01.0364" 0.6672 "mn" "song" ""
