dep,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_10,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_11,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_12,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_3,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_4,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_5,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_6,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_7,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_8,PARKSAUSTRALIA_GEOGRAPHE_202201_GEO_9,PARKSAUSTRALIA_JURIEN_202201_JNE_2,PARKSAUSTRALIA_JURIEN_202201_JNE_3,PARKSAUSTRALIA_JURIEN_202201_JNE_4,PARKSAUSTRALIA_JURIEN_202201_JNE_5,PARKSAUSTRALIA_JURIEN_202201_JNE_6,PARKSAUSTRALIA_JURIEN_202201_JNE_7,PARKSAUSTRALIA_JURIEN_202201_JNE_8,PARKSAUSTRALIA_JURIEN_202201_JNE_9,PARKSAUSTRALIA_MURAT_202002_MRE_10,PARKSAUSTRALIA_MURAT_202002_MRE_11,PARKSAUSTRALIA_MURAT_202002_MRE_12,PARKSAUSTRALIA_MURAT_202002_MRE_13,PARKSAUSTRALIA_MURAT_202002_MRE_14,PARKSAUSTRALIA_MURAT_202002_MRE_15,PARKSAUSTRALIA_MURAT_202002_MRE_16,PARKSAUSTRALIA_MURAT_202002_MRE_17,PARKSAUSTRALIA_MURAT_202002_MRE_7,PARKSAUSTRALIA_MURAT_202002_MRE_8,PARKSAUSTRALIA_MURAT_202002_MRE_9,PARKSAUSTRALIA_SWC_202201_SWS_10,PARKSAUSTRALIA_SWC_202201_SWS_11,PARKSAUSTRALIA_SWC_202201_SWS_12,PARKSAUSTRALIA_SWC_202201_SWS_13,PARKSAUSTRALIA_SWC_202201_SWS_14,PARKSAUSTRALIA_SWC_202201_SWS_4,PARKSAUSTRALIA_SWC_202201_SWS_5,PARKSAUSTRALIA_SWC_202201_SWS_6,PARKSAUSTRALIA_SWC_202201_SWS_7,PARKSAUSTRALIA_SWC_202201_SWS_8,PARKSAUSTRALIA_SWC_202201_SWS_9,PARKSAUSTRALIA_TWOROCKS_202105_TRW_20,PARKSAUSTRALIA_TWOROCKS_202105_TRW_21,PARKSAUSTRALIA_TWOROCKS_202105_TRW_22,PARKSAUSTRALIA_TWOROCKS_202105_TRW_23,PARKSAUSTRALIA_TWOROCKS_202105_TRW_24,PARKSAUSTRALIA_TWOROCKS_202105_TRW_27,PARKSAUSTRALIA_TWOROCKS_202105_TRW_28,PARKSAUSTRALIA_TWOROCKS_202105_TRW_29,PARKSAUSTRALIA_TWOROCKS_202105_TRW_30
PARKSAUSTRALIA_MURAT_202002_MRE_10,0.06599240280715829,0.050814948834698156,0.049491507836854035,0.0522557241078908,0.028427998488283875,0.035654107277489404,0.04445991879559202,0.048509729455325445,0.03657462362946986,0.04985206811617845,0.028068972375980095,0.02638381357469328,0.02890289516274874,0.027435253097749024,0.028126327627046914,0.027797553989385538,0.028685217775518017,0.028716070943094887,0,0.005916375771259975,0.02183778152969423,0.02332356749285027,0.03370837416774895,0.016310023692276344,0.027989401784879523,0.029246070467244964,0.007560794943780129,0.008035443760228779,0.02055993266742181,0.02821843059863591,0.02574474436841962,0.02392918038214183,0.024315919261961857,0.02276946204227374,0.025318858630801445,0.02579701461625713,0.024692493449594382,0.036527579813465334,0.02544401918606787,0.024124831845469687,0.04873683618458155,0.025504821587752916,0.04523510994353753,0.027169412090005125,0.027689291833165892,0.013012168082366406,0.014573376550066963,0.021166662602667273,0.00801832977561773
PARKSAUSTRALIA_MURAT_202002_MRE_11,0.06057903156463522,0.04534534153470822,0.04403206684845164,0.04675186657152921,0.022980718246121683,0.03021453384236507,0.03902658400991065,0.04304597987940251,0.031103944414762972,0.04443562608117544,0.03372666388011777,0.03194219374548035,0.03455422420913471,0.033151049410116346,0.03380088663112932,0.03353427448388296,0.03443084252763979,0.03446353576199333,0.005916375771259975,0,0.016147694175742553,0.017710845272336396,0.028219879065278303,0.010583159294342621,0.0226413061077834,0.023990909389210602,0.0019908898360968723,0.00262698068400647,0.014803528455527347,0.0339605769128656,0.031280237927766144,0.028714991862498675,0.029277327241810515,0.02812004826807379,0.03038875495823908,0.03059863907999543,0.029509798760381012,0.042160892677565454,0.03088533693989132,0.029013111193444796,0.043177387707375725,0.01996611614609278,0.03965578862540001,0.021630926243820937,0.022159406706584905,0.007931321476158259,0.009129495112183302,0.015601269852303092,0.010188750104641226
PARKSAUSTRALIA_MURAT_202002_MRE_12,0.046161595327156475,0.02985891206975269,0.028747937618840553,0.03191255235794226,0.009784533541163359,0.015265541207950638,0.024182590779715334,0.027745845428153098,0.015900478716250954,0.02985691129018991,0.04944997157375826,0.04763900721916448,0.05032972528701656,0.048812329717910635,0.04957645369217744,0.0492884197988775,0.050154154591688205,0.05019753294751354,0.02183778152969423,0.016147694175742553,0,0.00259596399862103,0.013452481638165112,0.006179891730906748,0.008271692773442774,0.009601085596196834,0.014688235601417523,0.01423488117263078,0.005502924052433598,0.04979096686429713,0.046815160855059615,0.04413683102062576,0.04484520337608901,0.04372914764319501,0.04602654357652107,0.0455424962015767,0.04490221466709161,0.05800515832008002,0.04641735029115135,0.04452052991258221,0.02742460686611013,0.007528238133485568,0.023852125427240144,0.007174355775656187,0.008735660251791405,0.01268332974098853,0.012388270889124068,0.0065299824488659446,0.024533026401844973
PARKSAUSTRALIA_MURAT_202002_MRE_13,0.04529059074279957,0.028826933369382437,0.02773222661474524,0.030977018354651383,0.00898335557059819,0.014270047880245908,0.02321476500356939,0.02672814470404618,0.014912441684048226,0.02897097809391155,0.05077964381893911,0.04848547383564358,0.05165820118992241,0.049961814117226035,0.050860692360463866,0.05014873730345761,0.051260783496372087,0.05105475251238243,0.02332356749285027,0.017710845272336396,0.00259596399862103,0,0.011441794366855374,0.0076787267147307966,0.005885020764364442,0.007592158437716549,0.01637369856306403,0.01584069934300818,0.0072189792905247695,0.05068113232622156,0.04802060003965126,0.04559892966011991,0.04618335711398715,0.04494181603399339,0.04743405078160738,0.046793622700403596,0.04623289939247173,0.05891744932370591,0.04769477463549298,0.04592255180533543,0.025667753505487154,0.007545751929114558,0.022156489002229933,0.006666787530119045,0.008665286603938227,0.013901599712278537,0.013547266653756156,0.00726762182887072,0.025466989038143366
PARKSAUSTRALIA_MURAT_202002_MRE_14,0.03917662863838649,0.021816247282421396,0.021069686125627325,0.024779439631905403,0.016269130074919924,0.013076531310497986,0.01719245983011713,0.02003921964897793,0.013929960042340404,0.0229783571293281,0.06066865637066905,0.05753772902054455,0.06149427834110623,0.05949200468831404,0.0605542878851948,0.05908792820736251,0.060710083807694694,0.06005006486291621,0.03370837416774895,0.028219879065278303,0.013452481638165112,0.011441794366855374,0,0.018722077976355427,0.006568171007286976,0.005140657868395027,0.027028871175580726,0.026300123577612005,0.015106713257866186,0.059759020692183876,0.057863123255842815,0.05619990592988334,0.05640156307495718,0.054789911367455556,0.05772165124355174,0.056986907335195985,0.05665153525943349,0.06774038261541691,0.05767907717116517,0.056350559438647724,0.015698133386062598,0.014443858274570986,0.012804404467428063,0.013218059877209634,0.013036388069491932,0.023891393466704762,0.023053562973937795,0.016345981698775047,0.034471170731462185
PARKSAUSTRALIA_MURAT_202002_MRE_15,0.051868969637052016,0.035887213212348876,0.03471202631132386,0.03773772465757895,0.014024462641686358,0.021122254507231097,0.030027545482829144,0.033710979826032064,0.021775267809291197,0.03562295131883964,0.04390204292106544,0.04163912653029858,0.0447535238625199,0.04309471975061387,0.0439795288909623,0.04329065131489943,0.044379830142860704,0.0441979370114741,0.016310023692276344,0.010583159294342621,0.006179891730906748,0.0076787267147307966,0.018722077976355427,0,0.013293417782938763,0.014861652706555477,0.009162126680753453,0.008883577431963389,0.006674103061732781,0.04380818493540972,0.0411529723706175,0.03861126962581626,0.03926645757019141,0.038066579176792334,0.04046438149424075,0.04008960859633039,0.03932774474242552,0.05203844589076906,0.04078088607462915,0.03895863586638214,0.03298488478836697,0.011136348574508542,0.029442621698083177,0.011676828390411875,0.012722716820946082,0.006977961829900866,0.007094818006294391,0.007071688865130607,0.018546254362550453
PARKSAUSTRALIA_MURAT_202002_MRE_16,0.04156527242354577,0.024815856558021796,0.023770784866694688,0.02718063530941524,0.00999756235769184,0.010649160899584531,0.019415364882866683,0.02276567011195645,0.011617271788070259,0.025220120388599748,0.05495195966597662,0.05235129638479635,0.05584298238318662,0.053956015068137186,0.05494007415093562,0.05406138347953965,0.05527468116347944,0.05495718584388275,0.027989401784879523,0.0226413061077834,0.008271692773442774,0.005885020764364442,0.006568171007286976,0.013293417782938763,0,0.003626904763808441,0.021550233719212022,0.020960540078222695,0.012109621494550199,0.054668336837162185,0.05218058883004908,0.05038878192949291,0.050681372263395204,0.049149309837333094,0.05197410745532868,0.05120279329950184,0.050864176714085566,0.06300144868365484,0.05199562269351745,0.0505486284170491,0.020804957963161945,0.010603117868206072,0.017434491028235414,0.0081908008243057,0.010068423203169419,0.018699437108342213,0.01809440061204424,0.011345718244509749,0.029697092501129157
PARKSAUSTRALIA_MURAT_202002_MRE_17,0.04309652716736548,0.02600833111940716,0.025112127938158715,0.02867552916472546,0.01263700704406983,0.012311637314587077,0.020921561015861508,0.02411326703848625,0.013182054244443122,0.02675712042484408,0.05615004948083028,0.05302944633875443,0.05701640268144391,0.054919411941324166,0.05600411652688679,0.05462091572293053,0.056163766699141006,0.055567272723192195,0.029246070467244964,0.023990909389210602,0.009601085596196834,0.007592158437716549,0.005140657868395027,0.014861652706555477,0.003626904763808441,0,0.022816028903625125,0.022104025762398515,0.011651212976535643,0.05528071866850087,0.053509720588879546,0.052052617581169865,0.052226729296840135,0.050560648050342424,0.05347121798865411,0.05280448541816064,0.052480079149712394,0.06338017632553927,0.0533225232043966,0.052149722539774165,0.020154554730270384,0.011024731282113877,0.016871966927208243,0.009980412311726793,0.00977324997519113,0.02016877903820608,0.019374337953374583,0.012584009588010474,0.030608976388985073
PARKSAUSTRALIA_MURAT_202002_MRE_7,0.05958909668744642,0.043919344135927595,0.04271383142423647,0.04567455237107444,0.021841767042293556,0.029049654450809193,0.037900529079273756,0.04171287834869737,0.02974442934489858,0.04341611515186672,0.03534899430495204,0.03368176667153959,0.036217422281537785,0.034893626815998585,0.03552466101626168,0.03528005007745011,0.03617273547244324,0.03620549906900609,0.007560794943780129,0.0019908898360968723,0.014688235601417523,0.01637369856306403,0.027028871175580726,0.009162126680753453,0.021550233719212022,0.022816028903625125,0,0.0016994610119173024,0.013461846492695585,0.03571911959688499,0.03304329023125263,0.030137418241811112,0.030895737653083278,0.029876476589403296,0.03204363949777107,0.032340362223564366,0.03120823388630643,0.043916337618871065,0.0326640866023274,0.030646699647579507,0.04193546668115178,0.01873751660105815,0.03841185693392466,0.020431018513310847,0.020933352806186672,0.007225092177899707,0.00836052631998622,0.014368505983375997,0.01148188361125797
PARKSAUSTRALIA_MURAT_202002_MRE_8,0.05968597200551191,0.0438817592333564,0.04269140992497803,0.04565530012951158,0.021883947941635597,0.029056186584178283,0.037922977891281684,0.04168938523948088,0.029733757980189353,0.04348631022854268,0.03592876884243371,0.03397106324746355,0.036747944229414506,0.035216634359741504,0.03595555251280952,0.035558328180189204,0.03646540074242263,0.0364880289838715,0.008035443760228779,0.00262698068400647,0.01423488117263078,0.01584069934300818,0.026300123577612005,0.008883577431963389,0.020960540078222695,0.022104025762398515,0.0016994610119173024,0,0.012676846751683174,0.03598126187728625,0.03344969863101211,0.030986399854161854,0.0315892463010279,0.030288314225236274,0.03282722862839508,0.032926445993445824,0.0318060071390123,0.04415604607935938,0.033185935738711723,0.031352201589852476,0.04133587990103457,0.018143451671382718,0.03782867245662418,0.019901250533064133,0.020354570387294324,0.007175831649336619,0.008431184631570807,0.013799085930474103,0.011917780755584157
PARKSAUSTRALIA_MURAT_202002_MRE_9,0.05083910900368806,0.0344179403334317,0.033367490985355665,0.03657396364013428,0.015048495525396886,0.020153098699922226,0.028836673030785034,0.03236191921832293,0.020701198499977213,0.03453228110208397,0.04811420741624241,0.04488281958534599,0.04887540452476627,0.04691390748810687,0.047882478474290086,0.046329086272598456,0.04801217097003114,0.047331396584599526,0.02055993266742181,0.014803528455527347,0.005502924052433598,0.0072189792905247695,0.015106713257866186,0.006674103061732781,0.012109621494550199,0.011651212976535643,0.013461846492695585,0.012676846751683174,0,0.04683000489375136,0.04540184441070506,0.04326185118888717,0.04375566385503279,0.04217974751191559,0.04513067850481783,0.044780663306326005,0.04387749321817567,0.05463375524773244,0.04527005995596873,0.04361603265980997,0.029281647529685127,0.007287860894927135,0.025989613960063676,0.010232862624260172,0.00946923819893586,0.010604686734844953,0.010528843464833005,0.005918541609602795,0.02148697801432622
PARKSAUSTRALIA_SWC_202201_SWS_10,0.09207360330297137,0.07767959847819905,0.07618314968056364,0.07834667942796579,0.05530284725706545,0.062067222785684016,0.07079953427064152,0.07543021932471689,0.06358105296990624,0.07595456935717872,0.008948321756913596,0.007223590698991174,0.008666918498518826,0.008037084896310337,0.008751665705735637,0.006672908826312211,0.008137345773000222,0.007420160776612471,0.02821843059863591,0.0339605769128656,0.04979096686429713,0.05068113232622156,0.059759020692183876,0.04380818493540972,0.054668336837162185,0.05528071866850087,0.03571911959688499,0.03598126187728625,0.04683000489375136,0,0.008441936227797153,0.0123342719099333,0.011626314374255334,0.01030863774069378,0.012315998188929683,0.012538432568841065,0.011472137347414734,0.014291098976613535,0.01037893158923875,0.011622580063030604,0.07380815674153755,0.05024802446229828,0.07026474156433361,0.053218012237742335,0.052434438811348995,0.03838946697765518,0.039063494940628656,0.046700724764342026,0.02837722878046082
PARKSAUSTRALIA_SWC_202201_SWS_11,0.08771530029902974,0.07380888471495248,0.07230935829016152,0.07412949058734271,0.05159919250475362,0.058130151279934414,0.06678910636303405,0.0716248567433413,0.05989234220340981,0.0718334400952804,0.005567442627950146,0.00727289629723889,0.006180010458610097,0.006346097352927696,0.005322683416749244,0.006536535522645352,0.00587514720796363,0.006559516282400291,0.02574474436841962,0.031280237927766144,0.046815160855059615,0.04802060003965126,0.057863123255842815,0.0411529723706175,0.05218058883004908,0.053509720588879546,0.03304329023125263,0.03344969863101211,0.04540184441070506,0.008441936227797153,0,0.004357484349069178,0.003422505142661241,0.0034411345091242764,0.004300888654957675,0.0044166065452454755,0.003301919703650825,0.0219289545390619,0.002748395788975435,0.003622518191008131,0.0725496747777102,0.04955573117287712,0.06875652889369091,0.05071933007730483,0.051547589014135885,0.03671701788644619,0.03798984213166183,0.04492682873369429,0.028276259048006906
PARKSAUSTRALIA_SWC_202201_SWS_12,0.08475615306443661,0.070716143784959,0.06921321541339202,0.07120767176651205,0.04847588515705289,0.05504328338424596,0.06371452565880575,0.06852058340765817,0.05675946594309749,0.06878142921558872,0.007530855065590215,0.009381316891367472,0.00866103610178036,0.009421336051810985,0.007600397891526589,0.009153554678640671,0.008806349730571619,0.009522663722754489,0.02392918038214183,0.028714991862498675,0.04413683102062576,0.04559892966011991,0.05619990592988334,0.03861126962581626,0.05038878192949291,0.052052617581169865,0.030137418241811112,0.030986399854161854,0.04326185118888717,0.0123342719099333,0.004357484349069178,0,0.0018404614896262502,0.003737770616129335,0.002868210399839328,0.0038353426710354644,0.0019330637652941985,0.025431076159491497,0.0036616330563687357,0.0011666557040768645,0.07056741902285678,0.04775247766783505,0.06680830957303813,0.048744801154914925,0.04969267886325168,0.03477552395940728,0.03618029902719185,0.04298067938013263,0.02667836654705174
