"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Bio_Category" "Call_type" "Notes"
41 "Spectrogram 1" 1 6383.968765771 6387.996111482 117.038 258.46 "2022/1/18" "18:03:41.9688" "18:03:45.9961" 4.0273 "fish" "p" "very faint"
42 "Spectrogram 1" 1 7209.889358245 7211.567418958 5647.674 7249.018 "2022/1/18" "18:17:27.8894" "18:17:29.5674" 1.6781 "uk" "uk" "snapping shrimp?"
43 "Spectrogram 1" 1 7763.246734022 7768.392786876 0 464.758 "2022/1/18" "18:26:41.2467" "18:26:46.3928" 5.1461 "uk" "uk" "low frquency shadows, unsure if significant"
44 "Spectrogram 1" 1 8114.431317576 8116.109378289 3234.655 3579.772 "2022/1/18" "18:32:32.4313" "18:32:34.1094" 1.6781 "uk" "uk" "originally thought dolphin whistle, but unsure"
45 "Spectrogram 1" 1 9036.760720466 9040.34058332 13.805 87.43 "2022/1/18" "18:47:54.7607" "18:47:58.3406" 3.5799 "uk" "uk" "maybe fish pulse? But it's incredibly small so I'm not sure"
46 "Spectrogram 1" 1 10680.365441164 10683.16220902 0 115.039 "2022/1/18" "19:15:18.3654" "19:15:21.1622" 2.7968 "uk" "uk" "Can't tell if these are small pulses or not"
47 "Spectrogram 1" 1 11103.158485459 11119.491609734 0 101.234 "2022/1/18" "19:22:21.1585" "19:22:37.4916" 16.3331 "uk" "uk" "Hard to tell, but are these fish pulses?"
48 "Spectrogram 1" 1 11602.806712593 11618.356741869 0 432.547 "2022/1/18" "19:30:40.8067" "19:30:56.3567" 15.55 "fish" "p" "double check"
49 "Spectrogram 1" 1 12833.015526815 12834.693587528 1995.849 3031.201 "2022/1/18" "19:51:11.0155" "19:51:12.6936" 1.6781 "uk" "uk" "may be shrimp snaps"
50 "Spectrogram 1" 1 13355.832197612 13368.361717604 0 1178 "2022/1/18" "19:59:53.8322" "20:00:06.3617" 12.5295 "uk" "uk" "[JM--louder pulses, fish?"
